Заказы,Выручка,Цена,Скидка,Рейтинг,Наличие (%),Рейтинг продавца,Отзывы о бренде,Дней в акциях,Средняя видимость,Основной склад,Уровень лояльности,Доставка_ЮФО_(ч),Доставка_ПФО_(ч),Доставка_УФО_(ч),Доставка_ДФО_(ч),Доставка_СФО_(ч),Доставка_СЗФО_(ч),Доставка_ЦФО_(ч),Ср время доставки (ч),Количество показов,Участвует в акциях,Количество отзывов
22,93543,4318.3,66.57,5.0,96.7741935483871,4.47,525946,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,20633.0,1,1.0
2,2203,1762.06,38.0,0.0,51.61290322580645,4.87,30275953,8,2,Тула,Нет данных,75,21,38,169,65,59,39,66,27247.0,1,0.0
4089,6520383,1616.07,52.27,4.9,96.7741935483871,4.86,197081,29,2,Сарапул,Серебряный,65,21,38,164,18,35,20,51,2626566.0,1,2046.0
1300,2571238,1951.4,38.03,4.8,96.7741935483871,4.82,5972181,29,1,Екатеринбург - Испытателей 14г,Серебряный,65,21,38,164,18,35,20,51,892271.0,1,616.0
465,448081,957.53,45.5,4.9,96.7741935483871,4.775,10500534,28,1,Санкт-Петербург (Уткина Заводь),Бронзовый,66,21,38,164,18,36,21,52,397913.0,1,182.0
109,352782,3293.2,64.87,4.6,96.7741935483871,4.497866666666667,3448806,29,2,Коледино,Начальный,66,21,38,164,18,36,21,52,2282.0,1,97.0
294,850684,2974.27,63.93,4.6,96.7741935483871,0.0,0,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,86822.0,1,56.0
74,113981,1524.53,54.53,5.0,96.7741935483871,4.74,44416361,28,2,Невинномысск,Начальный,66,21,38,169,65,36,21,59,11233.0,1,12.0
187,796991,4286.23,66.87,4.6,96.7741935483871,4.47,525946,28,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,73756.0,1,27.0
269,628591,2302.13,32.4,4.8,96.7741935483871,4.845,3773841,28,2,Белая дача,Бронзовый,66,21,38,169,65,36,21,59,167124.0,1,28.0
302,626149,2189.73,57.93,4.5,96.7741935483871,4.49,815261,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,36680.0,1,515.0
1255,4136929,3278.6,62.7,4.4,96.7741935483871,4.47,247145,29,1,Электросталь,Серебряный,65,21,38,164,18,35,20,51,89458.0,1,2101.0
